Developer,Latitude,Longitude,Place Name,Address
Media Molecule,51.5146501,-0.1382628,Media Molecule Limited,"10 Great Marlborough St, London W1F 7LP, Vereinigtes Königreich"
Fireproof Games,51.2342022,-0.5768822,Fireproof Studios Ltd,"First Floor, Hays House, Millmead, Guildford GU2 4HJ, Vereinigtes Königreich"
Remedy Entertainment,60.174553,24.7564316,Remedy Entertainment,"Luomanportti 3, 02200 Espoo, Finnland"
NDcube,43.06461669999999,141.3514934,"ND CUBE Co., Ltd. Sapporo Head Office","Japan, 〒060-0003 Hokkaido, Sapporo, Chuo Ward, Kita 3 Jonishi, 3 Chome−１−番地 大同生命札幌ビル １１階"
Mediatonic,51.4952104,-0.1455349,Mediatonic,"111 Buckingham Palace Rd, London SW1W 0SR, Vereinigtes Königreich"
CI Games,52.2283434,20.9846258,CI Games,"rondo Daszyńskiego 2b, 00-843 Warszawa, Polen"
Psyonix,32.7183484,-117.1670069,Psyonix Headquarters,"401 W A St #2400, San Diego, CA 92101, Vereinigte Staaten"
Koei,50.9486994,6.9569907,KODi Köln Eigelstein,"Eigelstein 102, 50668 Köln, Deutschland"
Ubisoft Quebec,46.8140817,-71.2218403,Desjardins,"585 Boulevard Charest E, Québec, QC G1K 3J2, Kanada"
Revolution Software,53.9598135,-1.080433,Revolution Software Limited,"Newgate, York YO1 7LY, Vereinigtes Königreich"
Relentless Software,12.9247637,77.61800199999999,Relentless Systems,"No. 15/2-1, Christi Tower, Hosur Main Road, Madiwala Upas, near Pick N Save Super Market, Bengaluru, Karnataka 560068, Indien"
Motion Twin,44.84755149999999,-0.5717774999999999,Motion-Twin,"7 Allées de Chartres, 33000 Bordeaux, Frankreich"
Arc System Works,35.50814769999999,139.6149679,"ARC SYSTEM WORKS CO.,LTD.","Japan, 〒222-0033 Kanagawa, Yokohama, Kohoku Ward, Shinyokohama, 2 Chome−3−9 新横浜金子ビル"
Square Enix,35.6938,139.7036,Square Enix,"""Headquarters: Zentrale: Shinjuku, Tokio, Japan"""
Hazelight,59.3193482,18.0692611,Hazelight Studios,"Peter Myndes backe 16, 118 46 Stockholm, Schweden"
Ubisoft Paris,48.8521166,2.4179572,Ubisoft Paris Studio,"28 Rue Armand Carrel, 93100 Montreuil, Frankreich"
Tripwire Interactive,34.060746,-84.41404639999999,Tripwire Interactive LLC,"1775 Woodstock Rd, Roswell, GA 30075, Vereinigte Staaten"
Rainbow Studios,33.4484,-112.074,Rainbow Studios,"""Headquarters: Zentrale: Phoenix, Arizona, USA"""
Activision,34.0242,-118.4965,Activision,"""Headquarters: Zentrale: Santa Monica, Kalifornien, USA"""
Frontier Developments,52.2315291,0.1443471,Frontier Developments,"26 Cambridge Science Park Milton Rd, Milton, Cambridge CB4 0FP, Vereinigtes Königreich"
Respawn Entertainment,48.87793629999999,2.3548409,Respawn,"104 Bd de Magenta, 75010 Paris, Frankreich"
Blue Byte,51.2326476,6.8195998,Ubisoft Blue Byte GmbH,"Luise-Rainer-Straße 7, 40235 Düsseldorf, Deutschland"
Iron Gate AB,58.3898951,13.847184,Iron Gate AB,"S:t Sigfrids gata 8, 541 30 Skövde, Schweden"
Bluepoint Games,30.3496815,-97.8011934,Bluepoint Games,"5000 Plaza on the Lake Suite 350, Austin, TX 78746, Vereinigte Staaten"
343 Industries,45.5708031,-74.37352709999999,343 industrie,"38 Rue Roy, Saint-André-d'Argenteuil, QC J0V 1X0, Kanada"
SquareSoft,12.9922586,80.19898359999999,Squaresoft Technologies,"49, Vellalar Street, Medavakkam Main Road Parangi Malai, Adambakkam Adjacent to Union Bank of India Near St.Thomas Mount Railway Station, Chennai, Tamil Nadu 600088, Indien"
Capcom / Dimps Corporation,53.5571863,9.9256454,Capcom Entertainment Germany GmbH,"Borselstraße 20, 22765 Hamburg, Deutschland"
TOSE,46.4369824,12.3862987,Lago delle Tose Calalzo,"32042 Calalzo di Cadore, Province of Belluno, Italien"
Sucker Punch,51.0534367,3.7308638,Sucker Punch Skate Shop,"Reep 24, 9000 Gent, Belgien"
Team Ninja,35.6762,139.6503,Team Ninja,"""Headquarters: Zentrale: Tokio, Japan"""
Cavia,50.95387179999999,5.9268127,Cavia & konijnen opvang - Het Zoekende Keuteltje,"Bovenderstraat 56, 6447 CE Merkelbeek, Niederlande"
Cat Daddy Games,47.6786334,-122.1965415,Cat Daddy Games,"KIR Google CWP 4, 720 4th Ave. #200, Kirkland, WA 98033, Vereinigte Staaten"
Rare Ltd.,51.5271272,-0.0885518,Rare and Exclusive LTD,"Kemp House, 152-160 City Rd, London EC1V 2NX, Vereinigtes Königreich"
EA Sports,37.5331,-122.2657,EA Sports,"""Headquarters: Zentrale: Redwood City, Kalifornien, USA"""
Quantic Dream,48.879872,2.4087774,Quantic Dream,"30 Rue Raoul Wallenberg, 75019 Paris, Frankreich"
EA UK,50.92687610000001,6.9661991,Electronic Arts GmbH,"Im Zollhafen 15-17, 50678 Köln, Deutschland"
Overkill Software,59.33317340000001,18.0682307,Overkill Software,"Regeringsgatan 38, 111 56 Stockholm, Schweden"
Konami Computer Entertainment Tokyo,35.6746501,139.7694867,Konami Digital Entertainment,"1 Chome-11-1 Ginza, Chuo City, Tokyo 104-0061, Japan"
SIE Bend Studio,44.0582,-121.3153,SIE Bend Studio,"""Headquarters: Zentrale: Bend, Oregon, USA"""
